#time observing_period
56233.282837008 0
57159.737600835 1
57159.744223619 1
57175.693143232 2
57175.699727826 2
57175.742576706 3
57175.742839344 3
57175.743510388 3
57175.745665832 3
57175.747624851 3
57175.748287265 3
57339.356046005567 4
57345.447691250090 5
57345.452487925162 5
57345.457595303807 5
57345.462413106565 5
57364.204632665605 6
